model	objective	reaction	status	value
ymn	obj	EX_e_0269	optimal	0.08798
ymn	obj	EX_e_0270	optimal	0.08798
ymn	obj	EX_e_0271	optimal	0.08798
ymn	obj	EX_e_0272	optimal	0.08798
ymn	obj	EX_e_0273	optimal	0.08798
ymn	obj	EX_e_0274	optimal	0.08798
ymn	obj	EX_e_0275	optimal	0.08798
ymn	obj	EX_e_0276	optimal	0.08798
ymn	obj	EX_e_0277	optimal	0.08798
ymn	obj	EX_e_0280	optimal	0.08798
ymn	obj	EX_e_0281	optimal	0.08798
ymn	obj	EX_e_0282	optimal	0.08798
ymn	obj	EX_e_0283	optimal	0.08798
ymn	obj	EX_e_0284	optimal	0.08798
ymn	obj	EX_e_0285	optimal	0.08798
ymn	obj	EX_e_0286	optimal	0.08798
ymn	obj	EX_e_0287	optimal	0.08798
ymn	obj	EX_e_0288	optimal	0.08798
ymn	obj	EX_e_0289	optimal	0.08798
ymn	obj	EX_e_0290	optimal	0.08798
ymn	obj	EX_e_0291	optimal	0.08798
ymn	obj	EX_e_0292	optimal	0.08798
ymn	obj	EX_e_0293	optimal	0.08798
ymn	obj	EX_e_0294	optimal	0.08798
ymn	obj	EX_e_0295	optimal	0.08798
ymn	obj	EX_e_0297	optimal	0.08798
ymn	obj	EX_e_0298	optimal	0.08798
ymn	obj	EX_e_0299	optimal	0.08798
ymn	obj	EX_e_0300	optimal	0.08798
ymn	obj	EX_e_0301	optimal	0.08798
ymn	obj	EX_e_0303	optimal	0.08798
ymn	obj	EX_e_0304	optimal	0.08798
ymn	obj	EX_e_0305	optimal	0.08798
ymn	obj	EX_e_0306	optimal	0.08798
ymn	obj	EX_e_0307	optimal	0.08798
ymn	obj	EX_e_0308	optimal	0.08798
ymn	obj	EX_e_0309	optimal	0.08798
ymn	obj	EX_e_0310	optimal	0.08798
ymn	obj	EX_e_0311	optimal	0.08798
ymn	obj	EX_e_0312	optimal	0.08798
ymn	obj	EX_e_0313	optimal	0.08798
ymn	obj	EX_e_0314	optimal	0.08798
ymn	obj	EX_e_0315	optimal	0.08798
ymn	obj	EX_e_0316	optimal	0.08798
ymn	obj	EX_e_0317	optimal	0.08798
ymn	obj	EX_e_0320	optimal	0.08798
ymn	obj	EX_e_0321	optimal	0.08798
ymn	obj	EX_e_0322	optimal	0.08798
ymn	obj	EX_e_0323	optimal	0.08798
ymn	obj	EX_e_0324	optimal	0.08798
ymn	obj	EX_e_0325	optimal	0.08798
ymn	obj	EX_e_0326	optimal	0.08798
ymn	obj	EX_e_0327	optimal	0.08798
ymn	obj	EX_e_0328	optimal	0.08798
ymn	obj	EX_e_0329	optimal	0.08798
ymn	obj	EX_e_0330	optimal	0.08798
ymn	obj	EX_e_0331	optimal	0.08798
ymn	obj	EX_e_0332	optimal	0.08798
ymn	obj	EX_e_0334	optimal	0.08798
ymn	obj	EX_e_0335	optimal	0.08798
ymn	obj	EX_e_0336	optimal	0.08798
ymn	obj	EX_e_0337	optimal	0.08798
ymn	obj	EX_e_0338	optimal	0.08798
ymn	obj	EX_e_0339	optimal	0.08798
ymn	obj	EX_e_0340	optimal	0.08798
ymn	obj	EX_e_0341	optimal	0.08798
ymn	obj	EX_e_0342	optimal	0.08798
ymn	obj	EX_e_0343	optimal	0.08798
ymn	obj	EX_e_0344	optimal	0.08798
ymn	obj	EX_e_0345	optimal	0.08798
ymn	obj	EX_e_0346	optimal	0.08798
ymn	obj	EX_e_0347	optimal	0.08798
ymn	obj	EX_e_0348	optimal	0.08798
ymn	obj	EX_e_0349	optimal	0.08798
ymn	obj	EX_e_0350	optimal	0.08798
ymn	obj	EX_e_0351	optimal	0.08798
ymn	obj	EX_e_0352	optimal	0.08798
ymn	obj	EX_e_0353	optimal	0.08798
ymn	obj	EX_e_0354	optimal	0.08798
ymn	obj	EX_e_0355	optimal	0.08798
ymn	obj	EX_e_0356	optimal	0.08798
ymn	obj	EX_e_0357	optimal	0.08798
ymn	obj	EX_e_0358	optimal	0.08798
ymn	obj	EX_e_0359	optimal	0.08798
ymn	obj	EX_e_0361	optimal	0.08798
ymn	obj	EX_e_0362	optimal	0.08798
ymn	obj	EX_e_0363	optimal	0.08798
ymn	obj	EX_e_0364	optimal	0.08798
ymn	obj	EX_e_0366	optimal	0.08798
ymn	obj	EX_e_0367	optimal	0.08798
ymn	obj	EX_e_0368	optimal	0.08798
ymn	obj	EX_e_0369	optimal	0.08798
ymn	obj	EX_e_0370	optimal	0.08798
ymn	obj	EX_e_0371	optimal	0.08798
ymn	obj	EX_e_0372	optimal	0.08798
ymn	obj	EX_e_0373	optimal	0.08798
ymn	obj	EX_e_0374	optimal	0.08798
ymn	obj	EX_e_0375	optimal	0.08798
ymn	obj	EX_e_0376	optimal	0.08798
ymn	obj	EX_e_0377	optimal	0.08798
ymn	obj	EX_e_0378	optimal	0.08798
ymn	obj	EX_e_0379	optimal	0.08798
ymn	obj	EX_e_0380	optimal	0.08798
ymn	obj	EX_e_0384	optimal	0.08798
ymn	obj	EX_e_0385	optimal	0.08798
ymn	obj	EX_e_0386	optimal	0.08798
ymn	obj	EX_e_0387	optimal	0.08798
ymn	obj	EX_e_0388	optimal	0.08798
ymn	obj	EX_e_0389	optimal	0.08798
ymn	obj	EX_e_0390	optimal	0.08798
ymn	obj	EX_e_0391	optimal	0.08798
ymn	obj	EX_e_0392	optimal	0.08798
ymn	obj	EX_e_0393	optimal	0.08798
ymn	obj	EX_e_0394	optimal	0.08798
ymn	obj	EX_e_0395	optimal	0.08798
ymn	obj	EX_e_0396	optimal	0.08798
ymn	obj	EX_e_0397	optimal	0.08798
ymn	obj	EX_e_0398	optimal	0.08798
ymn	obj	EX_e_0399	optimal	0.08798
ymn	obj	EX_e_0400	optimal	0.08798
ymn	obj	EX_e_0401	optimal	0.08798
ymn	obj	EX_e_0402	optimal	0.08798
ymn	obj	EX_e_0403	optimal	0.08798
ymn	obj	EX_e_0404	optimal	0.08798
ymn	obj	EX_e_0405	optimal	0.08798
ymn	obj	EX_e_0406	optimal	0.08798
ymn	obj	EX_e_0407	optimal	0.08798
ymn	obj	EX_e_0408	optimal	0.08798
ymn	obj	EX_e_0409	optimal	0.08798
ymn	obj	EX_e_0410	optimal	0.08798
ymn	obj	EX_e_0411	optimal	0.08798
ymn	obj	EX_e_0412	optimal	0.08798
ymn	obj	EX_e_0413	optimal	0.08798
ymn	obj	EX_e_0414	optimal	0.08798
ymn	obj	EX_e_0415	optimal	0.08798
ymn	obj	EX_e_0416	optimal	0.08798
ymn	obj	EX_e_0417	optimal	0.08798
ymn	obj	EX_e_0418	optimal	0.08798
ymn	obj	EX_e_0419	optimal	0.08798
ymn	obj	EX_e_0420	optimal	0.08798
ymn	obj	EX_e_0421	optimal	0.08798
ymn	obj	EX_e_0422	optimal	0.08798
ymn	obj	EX_e_0423	optimal	0.08798
ymn	obj	EX_e_0424	optimal	0.08798
ymn	obj	EX_e_0425	optimal	0.08798
ymn	obj	EX_e_0426	optimal	0.08798
ymn	obj	EX_e_0427	optimal	0.08798
ymn	obj	EX_e_0428	optimal	0.08798
ymn	obj	EX_e_0429	optimal	0.08798
ymn	obj	EX_e_0430	optimal	0.08798
ymn	obj	EX_e_0431	optimal	0.08798
ymn	obj	EX_e_0432	optimal	0.08798
ymn	obj	EX_e_0433	optimal	0.08798
ymn	obj	EX_e_0434	optimal	0.08798
ymn	obj	EX_e_0435	optimal	0.08798
ymn	obj	EX_e_0436	optimal	0.08798
ymn	obj	EX_e_0437	optimal	0.08798
ymn	obj	EX_e_0438	optimal	0.08798
ymn	obj	EX_e_0439	optimal	0.08798
ymn	obj	EX_e_0440	optimal	0.08798
ymn	obj	EX_e_0441	optimal	0.08798
ymn	obj	EX_e_0442	optimal	0.08798
ymn	obj	EX_e_0443	optimal	0.08798
ymn	obj	EX_e_0444	optimal	0.08798
ymn	obj	EX_e_0445	optimal	0.08798
ymn	obj	EX_e_0446	optimal	0.08798
ymn	obj	EX_e_0447	optimal	0.08798
ymn	obj	EX_e_0448	optimal	0.08798
ymn	obj	EX_e_0450	optimal	0.08798
ymn	obj	EX_e_0451	optimal	0.08798
ymn	obj	EX_e_0452	optimal	0.08798
ymn	obj	EX_e_0453	optimal	0.08798
ymn	obj	EX_e_0454	optimal	0.08798
ymn	obj	EX_e_0455	optimal	0.08798
ymn	obj	EX_e_0456	optimal	0.08798
ymn	obj	EX_e_0457	optimal	0.08798
ymn	obj	EX_e_0458	optimal	0.08798
ymn	obj	EX_e_0459	optimal	0.08798
ymn	obj	EX_e_0460	optimal	0.08798
ymn	obj	EX_e_0461	optimal	0.08798
ymn	obj	EX_e_0463	optimal	0.08798
ymn	obj	EX_e_0464	optimal	0.08798
ymn	obj	EX_e_0465	optimal	0.08798
ymn	obj	EX_e_0466	optimal	0.08798
ymn	obj	EX_e_0467	optimal	0.08798
ymn	obj	EX_e_0468	optimal	0.08798
ymn	obj	EX_e_0469	optimal	0.08798
ymn	obj	EX_e_0470	optimal	0.08798
ymn	obj	EX_e_0471	optimal	0.08798
ymn	obj	EX_e_0472	optimal	0.08798
ymn	obj	EX_e_0473	optimal	0.08798
ymn	obj	EX_e_0474	optimal	0.08798
ymn	obj	EX_e_0475	optimal	0.08798
ymn	obj	EX_e_0476	optimal	0.08798
ymn	obj	EX_e_0477	optimal	0.08798
ymn	obj	EX_e_0478	optimal	0.08798
ymn	obj	EX_e_0479	optimal	0.08798
ymn	obj	EX_e_0480	optimal	0.08798
ymn	obj	EX_e_0481	optimal	0.08798
ymn	obj	EX_e_0482	optimal	0.08798
ymn	obj	EX_e_0483	optimal	0.08798
ymn	obj	EX_e_0484	optimal	0.08798
ymn	obj	EX_e_0485	optimal	0.08798
ymn	obj	EX_e_0486	optimal	0.08798
ymn	obj	EX_e_0487	optimal	0.08798
ymn	obj	EX_e_0488	optimal	0.08798
ymn	obj	EX_e_0489	optimal	0.08798
ymn	obj	EX_e_0490	optimal	0.08798
ymn	obj	EX_e_0491	optimal	0.08798
ymn	obj	EX_e_0492	optimal	0.08798
ymn	obj	EX_e_0493	optimal	0.08798
ymn	obj	EX_e_0494	optimal	0.08798
ymn	obj	EX_e_0495	optimal	0.08798
ymn	obj	EX_e_0496	optimal	0.08798
ymn	obj	EX_e_0497	optimal	0.08798
ymn	obj	EX_e_0498	optimal	0.08798
ymn	obj	EX_e_0499	optimal	0.08798
ymn	obj	EX_e_0500	optimal	0.08798
ymn	obj	EX_e_0502	optimal	0.08798
ymn	obj	EX_e_0505	optimal	0.08798
ymn	obj	EX_e_0506	optimal	0.08798
ymn	obj	EX_e_0507	optimal	0.08798
ymn	obj	EX_e_0508	optimal	0.08798
ymn	obj	EX_e_0509	optimal	0.08798
ymn	obj	EX_e_0510	optimal	0.08798
ymn	obj	EX_e_0511	optimal	0.08798
ymn	obj	EX_e_0512	optimal	0.08798
ymn	obj	EX_e_0513	optimal	0.08798
ymn	obj	EX_e_0514	optimal	0.08798
ymn	obj	EX_e_0515	optimal	0.08798
ymn	obj	EX_e_0517	optimal	0.08798
ymn	obj	EX_e_0519	optimal	0.08798
ymn	obj	EX_e_0520	optimal	0.08798
ymn	obj	EX_e_0521	optimal	0.08798
ymn	obj	EX_e_0522	optimal	0.08798
ymn	obj	EX_e_0523	optimal	0.08798
ymn	obj	EX_e_0524	optimal	0.08798
ymn	obj	EX_e_0525	optimal	0.08798
ymn	obj	EX_e_0526	optimal	0.08798
ymn	obj	EX_e_0527	optimal	0.08798
ymn	obj	EX_e_0528	optimal	0.08798
ymn	obj	EX_e_0529	optimal	0.08798
ymn	obj	EX_e_0530	optimal	0.08798
ymn	obj	EX_e_0531	optimal	0.08798
ymn	obj	EX_e_0532	optimal	0.08798
ymn	obj	EX_e_0533	optimal	0.08798
ymn	obj	EX_e_0534	optimal	0.08798
ymn	obj	EX_e_0535	optimal	0.08798
ymn	obj	EX_e_0537	optimal	0.08798
ymn	obj	EX_e_0538	optimal	0.08798
ymn	obj	EX_e_0539	optimal	0.08798
ymn	obj	EX_e_0540	optimal	0.08798
ymn	obj	EX_e_0541	optimal	0.08798
ymn	obj	EX_e_0542	optimal	0.08798
ymn	obj	EX_e_0543	optimal	0.08798
ymn	obj	EX_e_0544	optimal	0.08798
ymn	obj	EX_e_0545	optimal	0.08798
ymn	obj	EX_e_0546	optimal	0.08798
ymn	obj	EX_e_0547	optimal	0.08798
ymn	obj	EX_e_0548	optimal	0.08798
ymn	obj	EX_e_0549	optimal	0.08798
ymn	obj	EX_e_0550	optimal	0.08798
ymn	obj	EX_e_0551	optimal	0.08798
ymn	obj	EX_e_0552	optimal	0.08798
ymn	obj	EX_e_0553	optimal	0.08798
ymn	obj	EX_e_0554	optimal	0.08798
ymn	obj	EX_e_0555	optimal	0.08798
ymn	obj	EX_e_0556	optimal	0.08798
ymn	obj	EX_e_0558	optimal	0.08798
ymn	obj	EX_e_0559	optimal	0.08798
ymn	obj	EX_e_0560	optimal	0.08798
ymn	obj	EX_e_0561	optimal	0.08798
ymn	obj	EX_e_0562	optimal	0.08798
ymn	obj	EX_e_0563	optimal	0.08798
ymn	obj	EX_e_0564	optimal	0.08798
ymn	obj	EX_e_0565	optimal	0.08798
ymn	obj	EX_e_0566	optimal	0.08798
ymn	obj	EX_e_0567	optimal	0.08798
ymn	obj	EX_e_0568	optimal	0.08798
ymn	obj	EX_e_0569	optimal	0.08798
ymn	obj	EX_e_0570	optimal	0.08798
ymn	obj	EX_e_0571	optimal	0.08798
ymn	obj	EX_e_0572	optimal	0.08798
ymn	obj	EX_e_0573	optimal	0.08798
ymn	obj	EX_e_0574	optimal	0.08798
ymn	obj	EX_e_0575	optimal	0.08798
ymn	obj	EX_e_0576	optimal	0.08798
ymn	obj	EX_e_0577	optimal	0.08798
ymn	obj	EX_e_0578	optimal	0.08798
ymn	obj	EX_e_0579	optimal	0.08798
ymn	obj	EX_e_0580	optimal	0.08798
ymn	obj	EX_e_0581	optimal	0.08798
ymn	obj	EX_e_0582	optimal	0.08798
ymn	obj	EX_e_0583	optimal	0.08798
ymn	obj	EX_e_0584	optimal	0.08798
ymn	obj	EX_e_0585	optimal	0.08798
ymn	obj	EX_e_0586	optimal	0.08798
ymn	obj	EX_e_0587	optimal	0.08798
ymn	obj	EX_e_0588	optimal	0.08798
ymn	obj	EX_e_0590	optimal	0.08798
ymn	obj	EX_e_0591	optimal	0.08798
ymn	obj	EX_e_0594	optimal	0.08798
ymn	obj	EX_e_0596	optimal	0.08798
ymn	obj	EX_e_0597	optimal	0.08798
ymn	obj	EX_e_0598	optimal	0.08798
ymn	obj	EX_e_0599	optimal	0.08798
ymn	obj	EX_e_0600	optimal	0.08798
ymn	obj	EX_e_0601	optimal	0.08798
ymn	obj	EX_e_0602	optimal	0.08798
ymn	obj	EX_e_0603	optimal	0.08798
ymn	obj	EX_e_0604	optimal	0.08798
ymn	obj	EX_e_0605	optimal	0.08798
ymn	obj	EX_e_0607	optimal	0.08798
ymn	obj	EX_e_0608	optimal	0.08798
ymn	obj	EX_e_0609	optimal	0.08798
ymn	obj	EX_e_0610	optimal	0.08798
ymn	obj	EX_e_0611	optimal	0.08798
ymn	obj	EX_e_0612	optimal	0.08798
ymn	obj	EX_e_0613	optimal	0.08798
ymn	obj	EX_e_0614	optimal	0.08798
ymn	obj	EX_e_0615	optimal	0.08798
ymn	obj	EX_e_0616	optimal	0.08798
ymn	obj	EX_e_0617	optimal	0.08798
ymn	obj	EX_e_0618	optimal	0.08798
ymn	obj	EX_e_0619	optimal	0.08798
ymn	obj	EX_e_0620	optimal	0.08798
ymn	obj	EX_e_0621	optimal	0.08798
ymn	obj	EX_e_0622	optimal	0.08798
ymn	obj	EX_e_0623	optimal	0.08798
ymn	obj	EX_e_0624	optimal	0.08798
ymn	obj	EX_e_0625	optimal	0.08798
ymn	obj	EX_e_0626	optimal	0.08798
ymn	obj	EX_e_0627	optimal	0.08798
ymn	obj	EX_e_0628	optimal	0.08798
