model	objective	reaction	status	value
ymn	obj	EX_e_0001	optimal	0.08798
ymn	obj	EX_e_0002	optimal	0.08798
ymn	obj	EX_e_0003	optimal	0.08798
ymn	obj	EX_e_0004	optimal	0.08798
ymn	obj	EX_e_0005	optimal	0.08798
ymn	obj	EX_e_0006	optimal	0.08798
ymn	obj	EX_e_0007	optimal	0.08798
ymn	obj	EX_e_0008	optimal	0.08798
ymn	obj	EX_e_0009	optimal	0.08798
ymn	obj	EX_e_0010	optimal	0.08798
ymn	obj	EX_e_0011	optimal	0.08798
ymn	obj	EX_e_0012	optimal	0.08798
ymn	obj	EX_e_0013	optimal	0.08798
ymn	obj	EX_e_0014	optimal	0.08798
ymn	obj	EX_e_0015	optimal	0.08798
ymn	obj	EX_e_0016	optimal	0.08798
ymn	obj	EX_e_0017	optimal	0.08798
ymn	obj	EX_e_0018	optimal	0.08798
ymn	obj	EX_e_0019	optimal	0.08798
ymn	obj	EX_e_0021	optimal	0.08798
ymn	obj	EX_e_0023	optimal	0.08798
ymn	obj	EX_e_0024	optimal	0.08798
ymn	obj	EX_e_0025	optimal	0.08798
ymn	obj	EX_e_0026	optimal	0.08798
ymn	obj	EX_e_0027	optimal	0.08798
ymn	obj	EX_e_0028	optimal	0.08798
ymn	obj	EX_e_0029	optimal	0.08798
ymn	obj	EX_e_0030	optimal	0.08798
ymn	obj	EX_e_0031	optimal	0.08798
ymn	obj	EX_e_0032	optimal	0.08798
ymn	obj	EX_e_0033	optimal	0.08798
ymn	obj	EX_e_0034	optimal	0.08798
ymn	obj	EX_e_0035	optimal	0.08798
ymn	obj	EX_e_0036	optimal	0.08798
ymn	obj	EX_e_0037	optimal	0.08798
ymn	obj	EX_e_0038	optimal	0.08798
ymn	obj	EX_e_0039	optimal	0.08798
ymn	obj	EX_e_0040	optimal	0.08798
ymn	obj	EX_e_0041	optimal	0.08798
ymn	obj	EX_e_0042	optimal	0.08798
ymn	obj	EX_e_0043	optimal	0.08798
ymn	obj	EX_e_0044	optimal	0.08798
ymn	obj	EX_e_0047	optimal	0.08798
ymn	obj	EX_e_0048	optimal	0.08798
ymn	obj	EX_e_0049	optimal	0.08798
ymn	obj	EX_e_0050	optimal	0.08798
ymn	obj	EX_e_0051	optimal	0.08798
ymn	obj	EX_e_0054	optimal	0.08798
ymn	obj	EX_e_0055	optimal	0.08798
ymn	obj	EX_e_0056	optimal	0.08798
ymn	obj	EX_e_0057	optimal	0.08798
ymn	obj	EX_e_0058	optimal	0.08798
ymn	obj	EX_e_0059	optimal	0.08798
ymn	obj	EX_e_0060	optimal	0.08798
ymn	obj	EX_e_0061	optimal	0.08798
ymn	obj	EX_e_0062	optimal	0.08798
ymn	obj	EX_e_0063	optimal	0.08798
ymn	obj	EX_e_0064	optimal	0.08798
ymn	obj	EX_e_0065	optimal	0.08798
ymn	obj	EX_e_0066	optimal	0.08798
ymn	obj	EX_e_0067	optimal	0.08798
ymn	obj	EX_e_0068	optimal	0.08798
ymn	obj	EX_e_0069	optimal	0.08798
ymn	obj	EX_e_0070	optimal	0.08798
ymn	obj	EX_e_0071	optimal	0.08798
ymn	obj	EX_e_0073	optimal	0.08798
ymn	obj	EX_e_0074	optimal	0.08798
ymn	obj	EX_e_0075	optimal	0.08798
ymn	obj	EX_e_0076	optimal	0.08798
ymn	obj	EX_e_0077	optimal	0.08798
ymn	obj	EX_e_0078	optimal	0.08798
ymn	obj	EX_e_0079	optimal	0.08798
ymn	obj	EX_e_0080	optimal	0.08798
ymn	obj	EX_e_0081	optimal	0.08798
ymn	obj	EX_e_0082	optimal	0.08798
ymn	obj	EX_e_0083	optimal	0.08798
ymn	obj	EX_e_0084	optimal	0.08798
ymn	obj	EX_e_0085	optimal	0.08798
ymn	obj	EX_e_0086	optimal	0.08798
ymn	obj	EX_e_0087	optimal	0.08798
ymn	obj	EX_e_0088	optimal	0.08798
ymn	obj	EX_e_0089	optimal	0.08798
ymn	obj	EX_e_0090	optimal	0.08798
ymn	obj	EX_e_0091	optimal	0.08798
ymn	obj	EX_e_0092	optimal	0.08798
ymn	obj	EX_e_0093	optimal	0.08798
ymn	obj	EX_e_0094	optimal	0.08798
ymn	obj	EX_e_0095	optimal	0.08798
ymn	obj	EX_e_0096	optimal	0.08798
ymn	obj	EX_e_0097	optimal	0.08798
ymn	obj	EX_e_0098	optimal	0.08798
ymn	obj	EX_e_0100	optimal	0.08798
ymn	obj	EX_e_0101	optimal	0.08798
ymn	obj	EX_e_0102	optimal	0.08798
ymn	obj	EX_e_0103	optimal	0.08798
ymn	obj	EX_e_0104	optimal	0.08798
ymn	obj	EX_e_0105	optimal	0.08798
ymn	obj	EX_e_0106	optimal	0.08798
ymn	obj	EX_e_0107	optimal	0.08798
ymn	obj	EX_e_0108	optimal	0.08798
ymn	obj	EX_e_0109	optimal	0.08798
ymn	obj	EX_e_0110	optimal	0.08798
ymn	obj	EX_e_0111	optimal	0.08798
ymn	obj	EX_e_0112	optimal	0.08798
ymn	obj	EX_e_0113	optimal	0.08798
ymn	obj	EX_e_0114	optimal	0.08798
ymn	obj	EX_e_0115	optimal	0.08798
ymn	obj	EX_e_0116	optimal	0.08798
ymn	obj	EX_e_0119	optimal	0.08798
ymn	obj	EX_e_0120	optimal	0.08798
ymn	obj	EX_e_0122	optimal	0.08798
ymn	obj	EX_e_0123	optimal	0.08798
ymn	obj	EX_e_0124	optimal	0.08798
ymn	obj	EX_e_0125	optimal	0.08798
ymn	obj	EX_e_0126	optimal	0.08798
ymn	obj	EX_e_0127	optimal	0.08798
ymn	obj	EX_e_0129	optimal	0.08798
ymn	obj	EX_e_0130	optimal	0.08798
ymn	obj	EX_e_0131	optimal	0.08798
ymn	obj	EX_e_0133	optimal	0.08798
ymn	obj	EX_e_0134	optimal	0.08798
ymn	obj	EX_e_0135	optimal	0.08798
ymn	obj	EX_e_0136	optimal	0.08798
ymn	obj	EX_e_0137	optimal	0.08798
ymn	obj	EX_e_0138	optimal	0.08798
ymn	obj	EX_e_0139	optimal	0.08798
ymn	obj	EX_e_0140	optimal	0.08798
ymn	obj	EX_e_0141	optimal	0.08798
ymn	obj	EX_e_0142	optimal	0.08798
ymn	obj	EX_e_0143	optimal	0.08798
ymn	obj	EX_e_0144	optimal	0.08798
ymn	obj	EX_e_0145	optimal	0.08798
ymn	obj	EX_e_0146	optimal	0.08798
ymn	obj	EX_e_0147	optimal	0.08798
ymn	obj	EX_e_0149	optimal	0.08798
ymn	obj	EX_e_0150	optimal	0.08798
ymn	obj	EX_e_0151	optimal	0.08798
ymn	obj	EX_e_0152	optimal	0.08798
ymn	obj	EX_e_0153	optimal	0.08798
ymn	obj	EX_e_0154	optimal	0.08798
ymn	obj	EX_e_0155	optimal	0.08798
ymn	obj	EX_e_0156	optimal	0.08798
ymn	obj	EX_e_0157	optimal	0.08798
ymn	obj	EX_e_0158	optimal	0.08798
ymn	obj	EX_e_0159	optimal	0.08798
ymn	obj	EX_e_0160	optimal	0.08798
ymn	obj	EX_e_0161	optimal	0.08798
ymn	obj	EX_e_0162	optimal	0.08798
ymn	obj	EX_e_0163	optimal	0.08798
ymn	obj	EX_e_0164	optimal	0.08798
ymn	obj	EX_e_0165	optimal	0.08798
ymn	obj	EX_e_0166	optimal	0.08798
ymn	obj	EX_e_0167	optimal	0.08798
ymn	obj	EX_e_0168	optimal	0.08798
ymn	obj	EX_e_0169	optimal	0.08798
ymn	obj	EX_e_0170	optimal	0.08798
ymn	obj	EX_e_0171	optimal	0.08798
ymn	obj	EX_e_0172	optimal	0.08798
ymn	obj	EX_e_0173	optimal	0.08798
ymn	obj	EX_e_0174	optimal	0.08798
ymn	obj	EX_e_0175	optimal	0.08798
ymn	obj	EX_e_0177	optimal	0.08798
ymn	obj	EX_e_0179	optimal	0.08798
ymn	obj	EX_e_0181	optimal	0.08798
ymn	obj	EX_e_0182	optimal	0.08798
ymn	obj	EX_e_0183	optimal	0.08798
ymn	obj	EX_e_0184	optimal	0.08798
ymn	obj	EX_e_0185	optimal	0.08798
ymn	obj	EX_e_0186	optimal	0.08798
ymn	obj	EX_e_0187	optimal	0.08798
ymn	obj	EX_e_0188	optimal	0.08798
ymn	obj	EX_e_0189	optimal	0.08798
ymn	obj	EX_e_0190	optimal	0.08798
ymn	obj	EX_e_0191	optimal	0.08798
ymn	obj	EX_e_0192	optimal	0.08798
ymn	obj	EX_e_0193	optimal	0.08798
ymn	obj	EX_e_0194	optimal	0.08798
ymn	obj	EX_e_0195	optimal	0.08798
ymn	obj	EX_e_0196	optimal	0.08798
ymn	obj	EX_e_0197	optimal	0.08798
ymn	obj	EX_e_0198	optimal	0.08798
ymn	obj	EX_e_0199	optimal	0.08798
ymn	obj	EX_e_0200	optimal	0.08798
ymn	obj	EX_e_0201	optimal	0.08798
ymn	obj	EX_e_0202	optimal	0.08798
ymn	obj	EX_e_0204	optimal	0.08798
ymn	obj	EX_e_0205	optimal	0.08798
ymn	obj	EX_e_0206	optimal	0.08798
ymn	obj	EX_e_0207	optimal	0.08798
ymn	obj	EX_e_0208	optimal	0.08798
ymn	obj	EX_e_0209	optimal	0.08798
ymn	obj	EX_e_0210	optimal	0.08798
ymn	obj	EX_e_0211	optimal	0.08798
ymn	obj	EX_e_0212	optimal	0.08798
ymn	obj	EX_e_0213	optimal	0.08798
ymn	obj	EX_e_0214	optimal	0.08798
ymn	obj	EX_e_0215	optimal	0.08798
ymn	obj	EX_e_0216	optimal	0.08798
ymn	obj	EX_e_0217	optimal	0.08798
ymn	obj	EX_e_0218	optimal	0.08798
ymn	obj	EX_e_0219	optimal	0.08798
ymn	obj	EX_e_0221	optimal	0.08798
ymn	obj	EX_e_0222	optimal	0.08798
ymn	obj	EX_e_0223	optimal	0.08798
ymn	obj	EX_e_0224	optimal	0.08798
ymn	obj	EX_e_0225	optimal	0.08798
ymn	obj	EX_e_0226	optimal	0.08798
ymn	obj	EX_e_0227	optimal	0.08798
ymn	obj	EX_e_0228	optimal	0.08798
ymn	obj	EX_e_0229	optimal	0.08798
ymn	obj	EX_e_0230	optimal	0.08798
ymn	obj	EX_e_0231	optimal	0.08798
ymn	obj	EX_e_0232	optimal	0.08798
ymn	obj	EX_e_0233	optimal	0.08798
ymn	obj	EX_e_0234	optimal	0.08798
ymn	obj	EX_e_0235	optimal	0.08798
ymn	obj	EX_e_0236	optimal	0.08798
ymn	obj	EX_e_0237	optimal	0.08798
ymn	obj	EX_e_0238	optimal	0.08798
ymn	obj	EX_e_0239	optimal	0.08798
ymn	obj	EX_e_0241	optimal	0.08798
ymn	obj	EX_e_0242	optimal	0.08798
ymn	obj	EX_e_0243	optimal	0.08798
ymn	obj	EX_e_0244	optimal	0.08798
ymn	obj	EX_e_0245	optimal	0.08798
ymn	obj	EX_e_0246	optimal	0.08798
ymn	obj	EX_e_0247	optimal	0.08798
ymn	obj	EX_e_0248	optimal	0.08798
ymn	obj	EX_e_0249	optimal	0.08798
ymn	obj	EX_e_0250	optimal	0.08798
ymn	obj	EX_e_0251	optimal	0.08798
ymn	obj	EX_e_0252	optimal	0.08798
ymn	obj	EX_e_0253	optimal	0.08798
ymn	obj	EX_e_0254	optimal	0.08798
ymn	obj	EX_e_0255	optimal	0.08798
ymn	obj	EX_e_0256	optimal	0.08798
ymn	obj	EX_e_0257	optimal	0.08798
ymn	obj	EX_e_0258	optimal	0.08798
ymn	obj	EX_e_0259	optimal	0.08798
ymn	obj	EX_e_0260	optimal	0.08798
ymn	obj	EX_e_0261	optimal	0.08798
ymn	obj	EX_e_0262	optimal	0.08798
ymn	obj	EX_e_0263	optimal	0.08798
ymn	obj	EX_e_0264	optimal	0.08798
ymn	obj	EX_e_0265	optimal	0.08798
ymn	obj	EX_e_0266	optimal	0.08798
ymn	obj	EX_e_0267	optimal	0.08798
ymn	obj	EX_e_0268	optimal	0.08798
