model	objective	gene	status	value
ymn	obj	AND	optimal	0.08798023
ymn	obj	AND YDR376W AND YPL252C AND YDL120W	optimal	0.08798018
ymn	obj	AND YGL018C AND YOR232W	optimal	0.08798018
ymn	obj	AND YGL018C AND YOR232W AND YJR045C	optimal	0.08798018
ymn	obj	AND YIL128W AND YNL240C	optimal	0.08798018
ymn	obj	AND YJL026W	optimal	0.08798018
ymn	obj	AND YJR122W	optimal	0.08798018
ymn	obj	OR	optimal	0.08798018
ymn	obj	OR YDL093W OR YJR143C OR YOR321W	optimal	0.08798018
ymn	obj	OR YDR353W	optimal	0.08798018
ymn	obj	OR YER005W	optimal	0.08798018
ymn	obj	OR YKL088W	optimal	0.08798018
ymn	obj	OR YMR108W	optimal	0.08798018
ymn	obj	Q0045	optimal	0.0183219
ymn	obj	Q0045 AND Q0250 AND Q0275 AND YDL067C AND YEL039C AND YGL187C AND YGL191W AND YHR051W AND YIL111W AND YLR038C AND YLR395C AND YMR256C	optimal	0.08798018
ymn	obj	Q0045 AND Q0250 AND Q0275 AND YDL067C AND YEL039C AND YGL187C AND YGL191W AND YHR051W AND YLR038C AND YLR395C AND YMR256C AND YNL052W	optimal	0.08798018
ymn	obj	Q0045 AND Q0250 AND Q0275 AND YDL067C AND YGL187C AND YGL191W AND YHR051W AND YIL111W AND YJR048W AND YLR038C AND YLR395C AND YMR256C	optimal	0.08798018
ymn	obj	Q0045 AND Q0250 AND Q0275 AND YDL067C AND YGL187C AND YGL191W AND YHR051W AND YJR048W AND YLR038C AND YLR395C AND YMR256C AND YNL052W	optimal	0.08798018
ymn	obj	Q0080	optimal	0.03501306
ymn	obj	Q0080 AND Q0085 AND Q0130 AND YBL099W AND YBR039W AND YDL004W AND YDR298C AND YDR322C-A AND YDR377W AND YJR121W AND YKL016C AND YLR295C AND YML081C-A AND YPL078C AND YPL271W	optimal	0.08798018
ymn	obj	Q0080 AND Q0085 AND Q0130 AND YBL099W AND YBR039W AND YDL004W AND YDR298C AND YDR377W AND YJR121W AND YKL016C AND YLR295C AND YML081C-A AND YPL078C AND YPL271W AND YPR020W	optimal	0.08798018
ymn	obj	Q0085	optimal	0.03501306
ymn	obj	Q0105	optimal	0.0184341
ymn	obj	Q0105 AND YBL045C AND YDR529C AND YEL024W AND YEL039C AND YFR033C AND YGR183C AND YHR001W-A AND YJL166W AND YOR065W AND YPR191W	optimal	0.08798018
ymn	obj	Q0105 AND YBL045C AND YDR529C AND YEL024W AND YFR033C AND YGR183C AND YHR001W-A AND YJL166W AND YJR048W AND YOR065W AND YPR191W	optimal	0.08798018
ymn	obj	Q0130	optimal	0.03501306
ymn	obj	Q0250	optimal	0.0183219
ymn	obj	Q0275	optimal	0.0183219
ymn	obj	YAL012W	optimal	0.087978
ymn	obj	YAL022C	optimal	0.08798018
ymn	obj	YAL023C	optimal	0.08798018
ymn	obj	YAL023C AND YDL095W	optimal	0.08798018
ymn	obj	YAL038W	optimal	0.08798018
ymn	obj	YAL038W OR YOR347C	optimal	0.08798018
ymn	obj	YAL039C	optimal	0.08798018
ymn	obj	YAL044C	optimal	0.08686795
ymn	obj	YAL044C AND YDR019C AND YFL018C AND YMR189W	optimal	0.08798018
ymn	obj	YAL054C	optimal	0.08798018
ymn	obj	YAL054C OR YLR153C	optimal	0.08798018
ymn	obj	YAL060W	optimal	0.08798018
ymn	obj	YAL062W	optimal	0.08798018
ymn	obj	YAL062W OR YOR375C	optimal	0.08798018
ymn	obj	YAR015W	optimal	0.0
ymn	obj	YAR035W	optimal	0.08798018
ymn	obj	YAR035W OR YER024W	optimal	0.08798018
ymn	obj	YAR071W	optimal	0.08798018
ymn	obj	YAR071W OR YBR093C	optimal	0.08798018
ymn	obj	YBL011W	optimal	0.08798018
ymn	obj	YBL011W OR YKR067W	optimal	0.08798018
ymn	obj	YBL013W	optimal	0.08798018
ymn	obj	YBL015W	optimal	0.08798018
ymn	obj	YBL030C	optimal	0.08798018
ymn	obj	YBL030C OR YBR085W OR YMR056C	optimal	0.08798018
ymn	obj	YBL033C	optimal	0.0
ymn	obj	YBL039C	optimal	0.08798018
ymn	obj	YBL039C OR YJR103W	optimal	0.08798018
ymn	obj	YBL042C	optimal	0.08798018
ymn	obj	YBL045C	optimal	0.0184341
ymn	obj	YBL064C	optimal	0.08798018
ymn	obj	YBL064C AND YCR083W	optimal	0.08798018
ymn	obj	YBL068W	optimal	0.08798018
ymn	obj	YBL068W AND YOL061W	optimal	0.08798018
ymn	obj	YBL076C	optimal	0.0
ymn	obj	YBL098W	optimal	0.0
ymn	obj	YBL099W	optimal	0.03501306
ymn	obj	YBR002C	optimal	0.08798018
ymn	obj	YBR002C OR YMR101C	optimal	0.08798018
ymn	obj	YBR003W	optimal	0.08798018
ymn	obj	YBR004C	optimal	0.08798018
ymn	obj	YBR006W	optimal	0.08798018
ymn	obj	YBR011C	optimal	0.08798018
ymn	obj	YBR018C	optimal	0.08798018
ymn	obj	YBR019C	optimal	0.08798018
ymn	obj	YBR020W	optimal	0.08798018
ymn	obj	YBR021W	optimal	0.08798018
ymn	obj	YBR023C	optimal	0.08798018
ymn	obj	YBR023C OR YBR038W OR YNL192W	optimal	0.08798018
ymn	obj	YBR026C	optimal	0.08798018
ymn	obj	YBR029C	optimal	0.0
ymn	obj	YBR034C	optimal	0.08798018
ymn	obj	YBR035C	optimal	0.08798018
ymn	obj	YBR036C	optimal	0.08797643
ymn	obj	YBR036C AND YBR161W	optimal	0.08798018
ymn	obj	YBR036C AND YPL057C	optimal	0.08798018
ymn	obj	YBR038W	optimal	0.08798018
ymn	obj	YBR039W	optimal	0.03501306
ymn	obj	YBR041W	optimal	0.08797993
ymn	obj	YBR042C	optimal	0.08798018
ymn	obj	YBR058C-A	optimal	0.08798018
ymn	obj	YBR058C-A AND YDR062W AND YMR296C	optimal	0.08798018
ymn	obj	YBR068C	optimal	0.08798018
ymn	obj	YBR068C OR YBR069C OR YCL025C OR YDR046C OR YDR508C OR YKR039W	optimal	0.08798018
ymn	obj	YBR068C OR YBR069C OR YCL025C OR YDR046C OR YDR508C OR YKR039W OR YOL020W	optimal	0.08798018
ymn	obj	YBR068C OR YBR069C OR YCL025C OR YDR046C OR YKR039W	optimal	0.08798018
