model	objective	reaction	status	minimum	maximum
ymn	obj	EX_e_0001	infeasible		
ymn	obj	EX_e_0002	infeasible		
ymn	obj	EX_e_0003	infeasible		
ymn	obj	EX_e_0004	infeasible		
ymn	obj	EX_e_0005	infeasible		
ymn	obj	EX_e_0006	infeasible		
ymn	obj	EX_e_0007	infeasible		
ymn	obj	EX_e_0008	infeasible		
ymn	obj	EX_e_0009	infeasible		
ymn	obj	EX_e_0010	infeasible		
ymn	obj	EX_e_0011	infeasible		
ymn	obj	EX_e_0012	infeasible		
ymn	obj	EX_e_0013	infeasible		
ymn	obj	EX_e_0014	infeasible		
ymn	obj	EX_e_0015	infeasible		
ymn	obj	EX_e_0016	infeasible		
ymn	obj	EX_e_0017	infeasible		
ymn	obj	EX_e_0018	infeasible		
ymn	obj	EX_e_0019	infeasible		
ymn	obj	EX_e_0021	infeasible		
ymn	obj	EX_e_0023	infeasible		
ymn	obj	EX_e_0024	infeasible		
ymn	obj	EX_e_0025	infeasible		
ymn	obj	EX_e_0026	infeasible		
ymn	obj	EX_e_0027	infeasible		
ymn	obj	EX_e_0028	infeasible		
ymn	obj	EX_e_0029	infeasible		
ymn	obj	EX_e_0030	infeasible		
ymn	obj	EX_e_0031	infeasible		
ymn	obj	EX_e_0032	infeasible		
ymn	obj	EX_e_0033	infeasible		
ymn	obj	EX_e_0034	infeasible		
ymn	obj	EX_e_0035	infeasible		
ymn	obj	EX_e_0036	infeasible		
ymn	obj	EX_e_0037	infeasible		
ymn	obj	EX_e_0038	infeasible		
ymn	obj	EX_e_0039	infeasible		
ymn	obj	EX_e_0040	infeasible		
ymn	obj	EX_e_0041	infeasible		
ymn	obj	EX_e_0042	infeasible		
ymn	obj	EX_e_0043	infeasible		
ymn	obj	EX_e_0044	infeasible		
ymn	obj	EX_e_0047	infeasible		
ymn	obj	EX_e_0048	infeasible		
ymn	obj	EX_e_0049	infeasible		
ymn	obj	EX_e_0050	infeasible		
ymn	obj	EX_e_0051	infeasible		
ymn	obj	EX_e_0054	infeasible		
ymn	obj	EX_e_0055	infeasible		
ymn	obj	EX_e_0056	infeasible		
ymn	obj	EX_e_0057	infeasible		
ymn	obj	EX_e_0058	infeasible		
ymn	obj	EX_e_0059	infeasible		
ymn	obj	EX_e_0060	infeasible		
ymn	obj	EX_e_0061	infeasible		
ymn	obj	EX_e_0062	infeasible		
ymn	obj	EX_e_0063	infeasible		
ymn	obj	EX_e_0064	infeasible		
ymn	obj	EX_e_0065	infeasible		
ymn	obj	EX_e_0066	infeasible		
ymn	obj	EX_e_0067	infeasible		
ymn	obj	EX_e_0068	infeasible		
ymn	obj	EX_e_0069	infeasible		
ymn	obj	EX_e_0070	infeasible		
ymn	obj	EX_e_0071	infeasible		
ymn	obj	EX_e_0073	infeasible		
ymn	obj	EX_e_0074	infeasible		
ymn	obj	EX_e_0075	infeasible		
ymn	obj	EX_e_0076	infeasible		
ymn	obj	EX_e_0077	infeasible		
ymn	obj	EX_e_0078	infeasible		
ymn	obj	EX_e_0079	infeasible		
ymn	obj	EX_e_0080	infeasible		
ymn	obj	EX_e_0081	infeasible		
ymn	obj	EX_e_0082	infeasible		
ymn	obj	EX_e_0083	infeasible		
ymn	obj	EX_e_0084	infeasible		
ymn	obj	EX_e_0085	infeasible		
ymn	obj	EX_e_0086	infeasible		
ymn	obj	EX_e_0087	infeasible		
ymn	obj	EX_e_0088	infeasible		
ymn	obj	EX_e_0089	infeasible		
ymn	obj	EX_e_0090	infeasible		
ymn	obj	EX_e_0091	infeasible		
ymn	obj	EX_e_0092	infeasible		
ymn	obj	EX_e_0093	infeasible		
ymn	obj	EX_e_0094	infeasible		
ymn	obj	EX_e_0095	infeasible		
ymn	obj	EX_e_0096	infeasible		
