model	objective	reaction	status	minimum	maximum
ymn	obj	EX_e_0097	infeasible		
ymn	obj	EX_e_0098	infeasible		
ymn	obj	EX_e_0100	infeasible		
ymn	obj	EX_e_0101	infeasible		
ymn	obj	EX_e_0102	infeasible		
ymn	obj	EX_e_0103	infeasible		
ymn	obj	EX_e_0104	infeasible		
ymn	obj	EX_e_0105	infeasible		
ymn	obj	EX_e_0106	infeasible		
ymn	obj	EX_e_0107	infeasible		
ymn	obj	EX_e_0108	infeasible		
ymn	obj	EX_e_0109	infeasible		
ymn	obj	EX_e_0110	infeasible		
ymn	obj	EX_e_0111	infeasible		
ymn	obj	EX_e_0112	infeasible		
ymn	obj	EX_e_0113	infeasible		
ymn	obj	EX_e_0114	infeasible		
ymn	obj	EX_e_0115	infeasible		
ymn	obj	EX_e_0116	infeasible		
ymn	obj	EX_e_0119	infeasible		
ymn	obj	EX_e_0120	infeasible		
ymn	obj	EX_e_0122	infeasible		
ymn	obj	EX_e_0123	infeasible		
ymn	obj	EX_e_0124	infeasible		
ymn	obj	EX_e_0125	infeasible		
ymn	obj	EX_e_0126	infeasible		
ymn	obj	EX_e_0127	infeasible		
ymn	obj	EX_e_0129	infeasible		
ymn	obj	EX_e_0130	infeasible		
ymn	obj	EX_e_0131	infeasible		
ymn	obj	EX_e_0133	infeasible		
ymn	obj	EX_e_0134	infeasible		
ymn	obj	EX_e_0135	infeasible		
ymn	obj	EX_e_0136	infeasible		
ymn	obj	EX_e_0137	infeasible		
ymn	obj	EX_e_0138	infeasible		
ymn	obj	EX_e_0139	infeasible		
ymn	obj	EX_e_0140	infeasible		
ymn	obj	EX_e_0141	infeasible		
ymn	obj	EX_e_0142	infeasible		
ymn	obj	EX_e_0143	infeasible		
ymn	obj	EX_e_0144	infeasible		
ymn	obj	EX_e_0145	infeasible		
ymn	obj	EX_e_0146	infeasible		
ymn	obj	EX_e_0147	infeasible		
ymn	obj	EX_e_0149	infeasible		
ymn	obj	EX_e_0150	infeasible		
ymn	obj	EX_e_0151	infeasible		
ymn	obj	EX_e_0152	infeasible		
ymn	obj	EX_e_0153	infeasible		
ymn	obj	EX_e_0154	infeasible		
ymn	obj	EX_e_0155	infeasible		
ymn	obj	EX_e_0156	infeasible		
ymn	obj	EX_e_0157	infeasible		
ymn	obj	EX_e_0158	infeasible		
ymn	obj	EX_e_0159	infeasible		
ymn	obj	EX_e_0160	infeasible		
ymn	obj	EX_e_0161	infeasible		
ymn	obj	EX_e_0162	infeasible		
ymn	obj	EX_e_0163	infeasible		
ymn	obj	EX_e_0164	infeasible		
ymn	obj	EX_e_0165	infeasible		
ymn	obj	EX_e_0166	infeasible		
ymn	obj	EX_e_0167	infeasible		
ymn	obj	EX_e_0168	infeasible		
ymn	obj	EX_e_0169	infeasible		
ymn	obj	EX_e_0170	infeasible		
ymn	obj	EX_e_0171	infeasible		
ymn	obj	EX_e_0172	infeasible		
ymn	obj	EX_e_0173	infeasible		
ymn	obj	EX_e_0174	infeasible		
ymn	obj	EX_e_0175	infeasible		
ymn	obj	EX_e_0177	infeasible		
ymn	obj	EX_e_0179	infeasible		
ymn	obj	EX_e_0181	infeasible		
ymn	obj	EX_e_0182	infeasible		
ymn	obj	EX_e_0183	infeasible		
ymn	obj	EX_e_0184	infeasible		
ymn	obj	EX_e_0185	infeasible		
ymn	obj	EX_e_0186	infeasible		
ymn	obj	EX_e_0187	infeasible		
ymn	obj	EX_e_0188	infeasible		
ymn	obj	EX_e_0189	infeasible		
ymn	obj	EX_e_0190	infeasible		
ymn	obj	EX_e_0191	infeasible		
ymn	obj	EX_e_0192	infeasible		
ymn	obj	EX_e_0193	infeasible		
ymn	obj	EX_e_0194	infeasible		
ymn	obj	EX_e_0195	infeasible		
ymn	obj	EX_e_0196	infeasible		
ymn	obj	EX_e_0197	infeasible		
ymn	obj	EX_e_0198	infeasible		
ymn	obj	EX_e_0199	infeasible		
ymn	obj	EX_e_0200	infeasible		
ymn	obj	EX_e_0201	infeasible		
ymn	obj	EX_e_0202	infeasible		
ymn	obj	EX_e_0204	infeasible		
ymn	obj	EX_e_0205	infeasible		
ymn	obj	EX_e_0206	infeasible		
ymn	obj	EX_e_0207	infeasible		
ymn	obj	EX_e_0208	infeasible		
ymn	obj	EX_e_0209	infeasible		
ymn	obj	EX_e_0210	infeasible		
ymn	obj	EX_e_0211	infeasible		
ymn	obj	EX_e_0212	infeasible		
ymn	obj	EX_e_0213	infeasible		
ymn	obj	EX_e_0214	infeasible		
ymn	obj	EX_e_0215	infeasible		
ymn	obj	EX_e_0216	infeasible		
ymn	obj	EX_e_0217	infeasible		
ymn	obj	EX_e_0218	infeasible		
ymn	obj	EX_e_0219	infeasible		
ymn	obj	EX_e_0221	infeasible		
ymn	obj	EX_e_0222	infeasible		
ymn	obj	EX_e_0223	infeasible		
ymn	obj	EX_e_0224	infeasible		
ymn	obj	EX_e_0225	infeasible		
ymn	obj	EX_e_0226	infeasible		
ymn	obj	EX_e_0227	infeasible		
ymn	obj	EX_e_0228	infeasible		
ymn	obj	EX_e_0229	infeasible		
ymn	obj	EX_e_0230	infeasible		
ymn	obj	EX_e_0231	infeasible		
ymn	obj	EX_e_0232	infeasible		
ymn	obj	EX_e_0233	infeasible		
ymn	obj	EX_e_0234	infeasible		
ymn	obj	EX_e_0235	infeasible		
ymn	obj	EX_e_0236	infeasible		
ymn	obj	EX_e_0237	infeasible		
ymn	obj	EX_e_0238	infeasible		
ymn	obj	EX_e_0239	infeasible		
ymn	obj	EX_e_0241	infeasible		
ymn	obj	EX_e_0242	infeasible		
ymn	obj	EX_e_0243	infeasible		
ymn	obj	EX_e_0244	infeasible		
ymn	obj	EX_e_0245	infeasible		
ymn	obj	EX_e_0246	infeasible		
ymn	obj	EX_e_0247	infeasible		
ymn	obj	EX_e_0248	infeasible		
ymn	obj	EX_e_0249	infeasible		
ymn	obj	EX_e_0250	infeasible		
ymn	obj	EX_e_0251	infeasible		
ymn	obj	EX_e_0252	infeasible		
ymn	obj	EX_e_0253	infeasible		
ymn	obj	EX_e_0254	infeasible		
ymn	obj	EX_e_0255	infeasible		
ymn	obj	EX_e_0256	infeasible		
ymn	obj	EX_e_0257	infeasible		
ymn	obj	EX_e_0258	infeasible		
ymn	obj	EX_e_0259	infeasible		
ymn	obj	EX_e_0260	infeasible		
ymn	obj	EX_e_0261	infeasible		
ymn	obj	EX_e_0262	infeasible		
ymn	obj	EX_e_0263	infeasible		
ymn	obj	EX_e_0264	infeasible		
ymn	obj	EX_e_0265	infeasible		
ymn	obj	EX_e_0266	infeasible		
ymn	obj	EX_e_0267	infeasible		
ymn	obj	EX_e_0268	infeasible		
ymn	obj	EX_e_0269	infeasible		
ymn	obj	EX_e_0270	infeasible		
ymn	obj	EX_e_0271	infeasible		
ymn	obj	EX_e_0272	infeasible		
ymn	obj	EX_e_0273	infeasible		
ymn	obj	EX_e_0274	infeasible		
ymn	obj	EX_e_0275	infeasible		
ymn	obj	EX_e_0276	infeasible		
ymn	obj	EX_e_0277	infeasible		
ymn	obj	EX_e_0280	infeasible		
ymn	obj	EX_e_0281	infeasible		
ymn	obj	EX_e_0282	infeasible		
ymn	obj	EX_e_0283	infeasible		
ymn	obj	EX_e_0284	infeasible		
ymn	obj	EX_e_0285	infeasible		
ymn	obj	EX_e_0286	infeasible		
ymn	obj	EX_e_0287	infeasible		
ymn	obj	EX_e_0288	infeasible		
ymn	obj	EX_e_0289	infeasible		
ymn	obj	EX_e_0290	infeasible		
ymn	obj	EX_e_0291	infeasible		
ymn	obj	EX_e_0292	infeasible		
ymn	obj	EX_e_0293	infeasible		
ymn	obj	EX_e_0294	infeasible		
ymn	obj	EX_e_0295	infeasible		
ymn	obj	EX_e_0297	infeasible		
ymn	obj	EX_e_0298	infeasible		
ymn	obj	EX_e_0299	infeasible		
ymn	obj	EX_e_0300	infeasible		
ymn	obj	EX_e_0301	infeasible		
ymn	obj	EX_e_0303	infeasible		
ymn	obj	EX_e_0304	infeasible		
ymn	obj	EX_e_0305	infeasible		
ymn	obj	EX_e_0306	infeasible		
ymn	obj	EX_e_0307	infeasible		
ymn	obj	EX_e_0308	infeasible		
ymn	obj	EX_e_0309	infeasible		
ymn	obj	EX_e_0310	infeasible		
ymn	obj	EX_e_0311	infeasible		
ymn	obj	EX_e_0312	infeasible		
ymn	obj	EX_e_0313	infeasible		
ymn	obj	EX_e_0314	infeasible		
ymn	obj	EX_e_0315	infeasible		
ymn	obj	EX_e_0316	infeasible		
ymn	obj	EX_e_0317	infeasible		
ymn	obj	EX_e_0320	infeasible		
ymn	obj	EX_e_0321	infeasible		
ymn	obj	EX_e_0322	infeasible		
ymn	obj	EX_e_0323	infeasible		
ymn	obj	EX_e_0324	infeasible		
ymn	obj	EX_e_0325	infeasible		
ymn	obj	EX_e_0326	infeasible		
ymn	obj	EX_e_0327	infeasible		
ymn	obj	EX_e_0328	infeasible		
ymn	obj	EX_e_0329	infeasible		
ymn	obj	EX_e_0330	infeasible		
ymn	obj	EX_e_0331	infeasible		
ymn	obj	EX_e_0332	infeasible		
ymn	obj	EX_e_0334	infeasible		
ymn	obj	EX_e_0335	infeasible		
ymn	obj	EX_e_0336	infeasible		
ymn	obj	EX_e_0337	infeasible		
ymn	obj	EX_e_0338	infeasible		
ymn	obj	EX_e_0339	infeasible		
ymn	obj	EX_e_0340	infeasible		
ymn	obj	EX_e_0341	infeasible		
ymn	obj	EX_e_0342	infeasible		
ymn	obj	EX_e_0343	infeasible		
ymn	obj	EX_e_0344	infeasible		
ymn	obj	EX_e_0345	infeasible		
ymn	obj	EX_e_0346	infeasible		
ymn	obj	EX_e_0347	infeasible		
ymn	obj	EX_e_0348	infeasible		
ymn	obj	EX_e_0349	infeasible		
ymn	obj	EX_e_0350	infeasible		
ymn	obj	EX_e_0351	infeasible		
ymn	obj	EX_e_0352	infeasible		
ymn	obj	EX_e_0353	infeasible		
ymn	obj	EX_e_0354	infeasible		
ymn	obj	EX_e_0355	infeasible		
ymn	obj	EX_e_0356	infeasible		
ymn	obj	EX_e_0357	infeasible		
ymn	obj	EX_e_0358	infeasible		
ymn	obj	EX_e_0359	infeasible		
ymn	obj	EX_e_0361	infeasible		
ymn	obj	EX_e_0362	infeasible		
ymn	obj	EX_e_0363	infeasible		
ymn	obj	EX_e_0364	infeasible		
ymn	obj	EX_e_0366	infeasible		
ymn	obj	EX_e_0367	infeasible		
ymn	obj	EX_e_0368	infeasible		
ymn	obj	EX_e_0369	infeasible		
ymn	obj	EX_e_0370	infeasible		
ymn	obj	EX_e_0371	infeasible		
ymn	obj	EX_e_0372	infeasible		
ymn	obj	EX_e_0373	infeasible		
ymn	obj	EX_e_0374	infeasible		
ymn	obj	EX_e_0375	infeasible		
ymn	obj	EX_e_0376	infeasible		
ymn	obj	EX_e_0377	infeasible		
ymn	obj	EX_e_0378	infeasible		
ymn	obj	EX_e_0379	infeasible		
ymn	obj	EX_e_0380	infeasible		
ymn	obj	EX_e_0384	infeasible		
ymn	obj	EX_e_0385	infeasible		
ymn	obj	EX_e_0386	infeasible		
ymn	obj	EX_e_0387	infeasible		
ymn	obj	EX_e_0388	infeasible		
ymn	obj	EX_e_0389	infeasible		
ymn	obj	EX_e_0390	infeasible		
ymn	obj	EX_e_0391	infeasible		
ymn	obj	EX_e_0392	infeasible		
ymn	obj	EX_e_0393	infeasible		
ymn	obj	EX_e_0394	infeasible		
ymn	obj	EX_e_0395	infeasible		
ymn	obj	EX_e_0396	infeasible		
ymn	obj	EX_e_0397	infeasible		
ymn	obj	EX_e_0398	infeasible		
ymn	obj	EX_e_0399	infeasible		
ymn	obj	EX_e_0400	infeasible		
ymn	obj	EX_e_0401	infeasible		
ymn	obj	EX_e_0402	infeasible		
ymn	obj	EX_e_0403	infeasible		
ymn	obj	EX_e_0404	infeasible		
ymn	obj	EX_e_0405	infeasible		
ymn	obj	EX_e_0406	infeasible		
ymn	obj	EX_e_0407	infeasible		
ymn	obj	EX_e_0408	infeasible		
ymn	obj	EX_e_0409	infeasible		
ymn	obj	EX_e_0410	infeasible		
ymn	obj	EX_e_0411	infeasible		
ymn	obj	EX_e_0412	infeasible		
ymn	obj	EX_e_0413	infeasible		
ymn	obj	EX_e_0414	infeasible		
ymn	obj	EX_e_0415	infeasible		
ymn	obj	EX_e_0416	infeasible		
ymn	obj	EX_e_0417	infeasible		
ymn	obj	EX_e_0418	infeasible		
ymn	obj	EX_e_0419	infeasible		
ymn	obj	EX_e_0420	infeasible		
ymn	obj	EX_e_0421	infeasible		
ymn	obj	EX_e_0422	infeasible		
ymn	obj	EX_e_0423	infeasible		
ymn	obj	EX_e_0424	infeasible		
ymn	obj	EX_e_0425	infeasible		
ymn	obj	EX_e_0426	infeasible		
ymn	obj	EX_e_0427	infeasible		
ymn	obj	EX_e_0428	infeasible		
ymn	obj	EX_e_0429	infeasible		
ymn	obj	EX_e_0430	infeasible		
ymn	obj	EX_e_0431	infeasible		
ymn	obj	EX_e_0432	infeasible		
ymn	obj	EX_e_0433	infeasible		
ymn	obj	EX_e_0434	infeasible		
ymn	obj	EX_e_0435	infeasible		
ymn	obj	EX_e_0436	infeasible		
ymn	obj	EX_e_0437	infeasible		
ymn	obj	EX_e_0438	infeasible		
ymn	obj	EX_e_0439	infeasible		
ymn	obj	EX_e_0440	infeasible		
ymn	obj	EX_e_0441	infeasible		
ymn	obj	EX_e_0442	infeasible		
ymn	obj	EX_e_0443	infeasible		
ymn	obj	EX_e_0444	infeasible		
ymn	obj	EX_e_0445	infeasible		
ymn	obj	EX_e_0446	infeasible		
ymn	obj	EX_e_0447	infeasible		
ymn	obj	EX_e_0448	infeasible		
ymn	obj	EX_e_0450	infeasible		
ymn	obj	EX_e_0451	infeasible		
ymn	obj	EX_e_0452	infeasible		
ymn	obj	EX_e_0453	infeasible		
ymn	obj	EX_e_0454	infeasible		
ymn	obj	EX_e_0455	infeasible		
ymn	obj	EX_e_0456	infeasible		
ymn	obj	EX_e_0457	infeasible		
ymn	obj	EX_e_0458	infeasible		
ymn	obj	EX_e_0459	infeasible		
ymn	obj	EX_e_0460	infeasible		
ymn	obj	EX_e_0461	infeasible		
ymn	obj	EX_e_0463	infeasible		
ymn	obj	EX_e_0464	infeasible		
ymn	obj	EX_e_0465	infeasible		
ymn	obj	EX_e_0466	infeasible		
ymn	obj	EX_e_0467	infeasible		
ymn	obj	EX_e_0468	infeasible		
ymn	obj	EX_e_0469	infeasible		
ymn	obj	EX_e_0470	infeasible		
ymn	obj	EX_e_0471	infeasible		
ymn	obj	EX_e_0472	infeasible		
ymn	obj	EX_e_0473	infeasible		
ymn	obj	EX_e_0474	infeasible		
ymn	obj	EX_e_0475	infeasible		
ymn	obj	EX_e_0476	infeasible		
ymn	obj	EX_e_0477	infeasible		
ymn	obj	EX_e_0478	infeasible		
ymn	obj	EX_e_0479	infeasible		
ymn	obj	EX_e_0480	infeasible		
ymn	obj	EX_e_0481	infeasible		
ymn	obj	EX_e_0482	infeasible		
ymn	obj	EX_e_0483	infeasible		
ymn	obj	EX_e_0484	infeasible		
ymn	obj	EX_e_0485	infeasible		
ymn	obj	EX_e_0486	infeasible		
ymn	obj	EX_e_0487	infeasible		
ymn	obj	EX_e_0488	infeasible		
ymn	obj	EX_e_0489	infeasible		
ymn	obj	EX_e_0490	infeasible		
ymn	obj	EX_e_0491	infeasible		
ymn	obj	EX_e_0492	infeasible		
ymn	obj	EX_e_0493	infeasible		
ymn	obj	EX_e_0494	infeasible		
ymn	obj	EX_e_0495	infeasible		
ymn	obj	EX_e_0496	infeasible		
ymn	obj	EX_e_0497	infeasible		
ymn	obj	EX_e_0498	infeasible		
ymn	obj	EX_e_0499	infeasible		
ymn	obj	EX_e_0500	infeasible		
ymn	obj	EX_e_0502	infeasible		
ymn	obj	EX_e_0505	infeasible		
ymn	obj	EX_e_0506	infeasible		
ymn	obj	EX_e_0507	infeasible		
ymn	obj	EX_e_0508	infeasible		
ymn	obj	EX_e_0509	infeasible		
ymn	obj	EX_e_0510	infeasible		
ymn	obj	EX_e_0511	infeasible		
ymn	obj	EX_e_0512	infeasible		
ymn	obj	EX_e_0513	infeasible		
ymn	obj	EX_e_0514	infeasible		
ymn	obj	EX_e_0515	infeasible		
ymn	obj	EX_e_0517	infeasible		
ymn	obj	EX_e_0519	infeasible		
ymn	obj	EX_e_0520	infeasible		
ymn	obj	EX_e_0521	infeasible		
ymn	obj	EX_e_0522	infeasible		
ymn	obj	EX_e_0523	infeasible		
ymn	obj	EX_e_0524	infeasible		
ymn	obj	EX_e_0525	infeasible		
ymn	obj	EX_e_0526	infeasible		
ymn	obj	EX_e_0527	infeasible		
ymn	obj	EX_e_0528	infeasible		
ymn	obj	EX_e_0529	infeasible		
ymn	obj	EX_e_0530	infeasible		
ymn	obj	EX_e_0531	infeasible		
ymn	obj	EX_e_0532	infeasible		
ymn	obj	EX_e_0533	infeasible		
ymn	obj	EX_e_0534	infeasible		
ymn	obj	EX_e_0535	infeasible		
ymn	obj	EX_e_0537	infeasible		
ymn	obj	EX_e_0538	infeasible		
ymn	obj	EX_e_0539	infeasible		
ymn	obj	EX_e_0540	infeasible		
ymn	obj	EX_e_0541	infeasible		
ymn	obj	EX_e_0542	infeasible		
ymn	obj	EX_e_0543	infeasible		
ymn	obj	EX_e_0544	infeasible		
ymn	obj	EX_e_0545	infeasible		
ymn	obj	EX_e_0546	infeasible		
ymn	obj	EX_e_0547	infeasible		
ymn	obj	EX_e_0548	infeasible		
ymn	obj	EX_e_0549	infeasible		
ymn	obj	EX_e_0550	infeasible		
ymn	obj	EX_e_0551	infeasible		
ymn	obj	EX_e_0552	infeasible		
ymn	obj	EX_e_0553	infeasible		
ymn	obj	EX_e_0554	infeasible		
ymn	obj	EX_e_0555	infeasible		
ymn	obj	EX_e_0556	infeasible		
ymn	obj	EX_e_0558	infeasible		
ymn	obj	EX_e_0559	infeasible		
ymn	obj	EX_e_0560	infeasible		
ymn	obj	EX_e_0561	infeasible		
ymn	obj	EX_e_0562	infeasible		
ymn	obj	EX_e_0563	infeasible		
ymn	obj	EX_e_0564	infeasible		
ymn	obj	EX_e_0565	infeasible		
ymn	obj	EX_e_0566	infeasible		
ymn	obj	EX_e_0567	infeasible		
ymn	obj	EX_e_0568	infeasible		
ymn	obj	EX_e_0569	infeasible		
ymn	obj	EX_e_0570	infeasible		
ymn	obj	EX_e_0571	infeasible		
ymn	obj	EX_e_0572	infeasible		
ymn	obj	EX_e_0573	infeasible		
ymn	obj	EX_e_0574	infeasible		
ymn	obj	EX_e_0575	infeasible		
ymn	obj	EX_e_0576	infeasible		
ymn	obj	EX_e_0577	infeasible		
ymn	obj	EX_e_0578	infeasible		
ymn	obj	EX_e_0579	infeasible		
ymn	obj	EX_e_0580	infeasible		
ymn	obj	EX_e_0581	infeasible		
ymn	obj	EX_e_0582	infeasible		
ymn	obj	EX_e_0583	infeasible		
ymn	obj	EX_e_0584	infeasible		
ymn	obj	EX_e_0585	infeasible		
ymn	obj	EX_e_0586	infeasible		
ymn	obj	EX_e_0587	infeasible		
ymn	obj	EX_e_0588	infeasible		
ymn	obj	EX_e_0590	infeasible		
ymn	obj	EX_e_0591	infeasible		
ymn	obj	EX_e_0594	infeasible		
ymn	obj	EX_e_0596	infeasible		
ymn	obj	EX_e_0597	infeasible		
ymn	obj	EX_e_0598	infeasible		
ymn	obj	EX_e_0599	infeasible		
ymn	obj	EX_e_0600	infeasible		
ymn	obj	EX_e_0601	infeasible		
ymn	obj	EX_e_0602	infeasible		
ymn	obj	EX_e_0603	infeasible		
ymn	obj	EX_e_0604	infeasible		
ymn	obj	EX_e_0605	infeasible		
ymn	obj	EX_e_0607	infeasible		
ymn	obj	EX_e_0608	infeasible		
ymn	obj	EX_e_0609	infeasible		
ymn	obj	EX_e_0610	infeasible		
ymn	obj	EX_e_0611	infeasible		
ymn	obj	EX_e_0612	infeasible		
ymn	obj	EX_e_0613	infeasible		
ymn	obj	EX_e_0614	infeasible		
ymn	obj	EX_e_0615	infeasible		
ymn	obj	EX_e_0616	infeasible		
ymn	obj	EX_e_0617	infeasible		
ymn	obj	EX_e_0618	infeasible		
ymn	obj	EX_e_0619	infeasible		
ymn	obj	EX_e_0620	infeasible		
ymn	obj	EX_e_0621	infeasible		
ymn	obj	EX_e_0622	infeasible		
ymn	obj	EX_e_0623	infeasible		
ymn	obj	EX_e_0624	infeasible		
ymn	obj	EX_e_0625	infeasible		
ymn	obj	EX_e_0626	infeasible		
ymn	obj	EX_e_0627	infeasible		
ymn	obj	EX_e_0628	infeasible		
ymn	obj	EX_e_0629	infeasible		
ymn	obj	EX_e_0630	infeasible		
ymn	obj	EX_e_0631	infeasible		
ymn	obj	EX_e_0632	infeasible		
ymn	obj	EX_e_0636	infeasible		
ymn	obj	EX_e_0637	infeasible		
ymn	obj	EX_e_0638	infeasible		
ymn	obj	EX_e_0639	infeasible		
ymn	obj	EX_e_0640	infeasible		
ymn	obj	EX_e_0641	infeasible		
ymn	obj	EX_e_0642	infeasible		
ymn	obj	EX_e_0643	infeasible		
ymn	obj	EX_e_0644	infeasible		
ymn	obj	EX_e_0645	infeasible		
ymn	obj	EX_e_0646	infeasible		
ymn	obj	EX_e_0647	infeasible		
ymn	obj	EX_e_0648	infeasible		
ymn	obj	EX_e_0649	infeasible		
ymn	obj	EX_e_0650	infeasible		
ymn	obj	EX_e_0651	infeasible		
ymn	obj	EX_e_0652	infeasible		
ymn	obj	EX_e_0653	infeasible		
ymn	obj	EX_e_0654	infeasible		
ymn	obj	EX_e_0655	infeasible		
ymn	obj	EX_e_0656	infeasible		
ymn	obj	EX_e_0657	infeasible		
ymn	obj	EX_e_0658	infeasible		
ymn	obj	EX_e_0659	infeasible		
ymn	obj	EX_e_0660	infeasible		
ymn	obj	EX_e_0661	infeasible		
ymn	obj	EX_e_0662	infeasible		
ymn	obj	EX_e_0663	infeasible		
ymn	obj	EX_e_0664	infeasible		
ymn	obj	EX_e_0665	infeasible		
ymn	obj	EX_e_0666	infeasible		
ymn	obj	EX_e_0667	infeasible		
ymn	obj	EX_e_0668	infeasible		
ymn	obj	EX_e_0669	infeasible		
ymn	obj	EX_e_0670	infeasible		
ymn	obj	EX_e_0671	infeasible		
ymn	obj	EX_e_0672	infeasible		
ymn	obj	EX_e_0673	infeasible		
ymn	obj	EX_e_0674	infeasible		
ymn	obj	EX_e_0675	infeasible		
ymn	obj	EX_e_0676	infeasible		
ymn	obj	EX_e_0677	infeasible		
ymn	obj	EX_e_0678	infeasible		
ymn	obj	EX_e_0679	infeasible		
ymn	obj	EX_e_0680	infeasible		
ymn	obj	EX_e_0681	infeasible		
ymn	obj	EX_e_0682	infeasible		
ymn	obj	EX_e_0683	infeasible		
ymn	obj	EX_e_0684	infeasible		
ymn	obj	EX_e_0685	infeasible		
ymn	obj	EX_e_0686	infeasible		
ymn	obj	EX_e_0688	infeasible		
ymn	obj	EX_e_0689	infeasible		
ymn	obj	EX_e_0690	infeasible		
ymn	obj	EX_e_0691	infeasible		
ymn	obj	EX_e_0692	infeasible		
ymn	obj	EX_e_0693	infeasible		
ymn	obj	EX_e_0694	infeasible		
ymn	obj	EX_e_0695	infeasible		
ymn	obj	EX_e_0696	infeasible		
ymn	obj	EX_e_0697	infeasible		
ymn	obj	EX_e_0698	infeasible		
ymn	obj	EX_e_0699	infeasible		
ymn	obj	EX_e_0700	infeasible		
ymn	obj	EX_e_0701	infeasible		
ymn	obj	EX_e_0702	infeasible		
ymn	obj	EX_e_0703	infeasible		
ymn	obj	EX_e_0704	infeasible		
ymn	obj	EX_e_0705	infeasible		
ymn	obj	EX_e_0707	infeasible		
ymn	obj	EX_e_0708	infeasible		
ymn	obj	EX_e_0709	infeasible		
ymn	obj	EX_e_0710	infeasible		
ymn	obj	EX_e_0711	infeasible		
ymn	obj	EX_e_0712	infeasible		
ymn	obj	EX_e_0713	infeasible		
ymn	obj	EX_e_0714	infeasible		
ymn	obj	EX_e_0715	infeasible		
