gene	value	status
b3829	0.9219480950504655	optimal
b2957	0.9219480950504655	optimal
b3612	0.9219480950504655	optimal
b2994	0.9219480950504655	optimal
b2150	0.9219480950504655	optimal
b2463	0.9219480950504655	optimal
b2096	0.9219480950504655	optimal
b2407	0.9219480950504655	optimal
b1901	0.9219480950504655	optimal
b0073	-4.778062951939189e-17	optimal
b2978	0.9209633916763121	optimal
b2048	0.921948095050465	optimal
b4006	-1.2307917971346867e-15	optimal
b2541	0.9219480950504652	optimal
b2148	0.9219480950504652	optimal
b2979	0.9209633916763103	optimal
b2285	0.6606358592945922	optimal
b3956	0.9191407168451529	optimal
b0418	0.9219480950504706	optimal
b3709	0.9219480950504706	optimal
b0509	0.9219480950504706	optimal
b4119	0.9219480950504706	optimal
b0414	0.0	optimal
b2464	0.9219480950504837	optimal
b0273	0.9219480950504837	optimal
b4239	0.9219480950504837	optimal
b0312	0.9219480950504837	optimal
b0238	0.9219480950504837	optimal
b2029	0.9014927680265654	optimal
b0963	0.9219480950504574	optimal
b2762	-2.0474918070211834e-14	optimal
b2615	0.0	optimal
b3568	0.9219480950504633	optimal
b3575	0.9219480950504633	optimal
b2423	-1.3035148974040897e-16	optimal
b0052	0.9219480950504656	optimal
b0067	0.9219480950504656	optimal
b1982	0.9219480950504656	optimal
b0337	0.9219480950504656	optimal
b2705	0.9219480950504656	optimal
b0674	0.9219480950504656	optimal
b0612	0.9219480950504656	optimal
b3725	0.9219480950504656	optimal
b2720	0.9219480950504656	optimal
b3653	0.9219480950504656	optimal
b3904	0.9219480950504656	optimal
b2914	0.9219480950504656	optimal
b0207	0.9219480950504656	optimal
b3693	0.9219480950504656	optimal
b3126	0.9219480950504656	optimal
b0733	0.9219480950504656	optimal
b2797	0.9219480950504656	optimal
b1300	0.9219480950504656	optimal
b4039	0.9219480950504656	optimal
b2065	0.9219480950504656	optimal
b0655	0.9219480950504656	optimal
b0420	0.9219480950504656	optimal
b2242	0.9219480950504656	optimal
b1208	0.9219480950504656	optimal
b0134	4.74724334101071e-17	optimal
b2429	0.9219480950504662	optimal
b0654	0.9219480950504662	optimal
b4266	0.9219480950504662	optimal
b0854	0.9219480950504662	optimal
b1062	-5.160680814881375e-16	optimal
b1186	0.9219480950504666	optimal
b1711	0.9219480950504666	optimal
b2964	0.9219480950504666	optimal
b1709	0.9219480950504666	optimal
b4238	0.9219480950504666	optimal
b0616	0.9219480950504666	optimal
b2677	0.9219480950504666	optimal
b3833	0.9219480950504666	optimal
b2540	0.9219480950504666	optimal
b3091	0.9219480950504666	optimal
b2232	0.9219480950504666	optimal
b2169	0.9219480950504666	optimal
b0895	0.9219480950504666	optimal
b4111	0.9219480950504666	optimal
b0366	0.9219480950504666	optimal
b0353	0.9219480950504666	optimal
b1611	0.9219480950504666	optimal
b0973	0.9219480950504666	optimal
b2320	0.9219480950504666	optimal
b0347	0.9219480950504666	optimal
b0092	0.9219480950504666	optimal
b4053	0.9219480950504666	optimal
b2418	0.9219480950504666	optimal
b1622	0.9219480950504666	optimal
b2413	0.9219480950504666	optimal
b2465	0.9219480950504666	optimal
b1854	0.9219480950504666	optimal
