model	objective	gene	status	value
iJR904.xml.gz	obj	G_b0002	optimal	0.921948
iJR904.xml.gz	obj	G_b0003	optimal	0.921948
iJR904.xml.gz	obj	G_b0004	optimal	0.921948
iJR904.xml.gz	obj	G_b0007	optimal	0.921948
iJR904.xml.gz	obj	G_b0008	optimal	0.921948
iJR904.xml.gz	obj	G_b0019	optimal	0.921948
iJR904.xml.gz	obj	G_b0025	optimal	0.0
iJR904.xml.gz	obj	G_b0029	optimal	0.921948
iJR904.xml.gz	obj	G_b0031	optimal	0.0
iJR904.xml.gz	obj	G_b0032	optimal	0.921948
iJR904.xml.gz	obj	G_b0033	optimal	0.921948
iJR904.xml.gz	obj	G_b0036	optimal	0.921948
iJR904.xml.gz	obj	G_b0038	optimal	0.921948
iJR904.xml.gz	obj	G_b0040	optimal	0.921948
iJR904.xml.gz	obj	G_b0048	optimal	0.0
iJR904.xml.gz	obj	G_b0049	optimal	0.921948
iJR904.xml.gz	obj	G_b0052	optimal	0.921948
iJR904.xml.gz	obj	G_b0061	optimal	0.921948
iJR904.xml.gz	obj	G_b0062	optimal	0.921948
iJR904.xml.gz	obj	G_b0063	optimal	0.921948
iJR904.xml.gz	obj	G_b0066	optimal	0.921948
iJR904.xml.gz	obj	G_b0067	optimal	0.921948
iJR904.xml.gz	obj	G_b0068	optimal	0.921948
iJR904.xml.gz	obj	G_b0071	optimal	0.0
iJR904.xml.gz	obj	G_b0072	optimal	0.0
iJR904.xml.gz	obj	G_b0073	optimal	0.0
iJR904.xml.gz	obj	G_b0074	optimal	0.0
iJR904.xml.gz	obj	G_b0077	optimal	0.921948
iJR904.xml.gz	obj	G_b0078	optimal	0.921948
iJR904.xml.gz	obj	G_b0085	optimal	0.0
iJR904.xml.gz	obj	G_b0086	optimal	0.0
iJR904.xml.gz	obj	G_b0087	optimal	0.0
iJR904.xml.gz	obj	G_b0088	optimal	0.0
iJR904.xml.gz	obj	G_b0090	optimal	0.0
iJR904.xml.gz	obj	G_b0091	optimal	0.0
iJR904.xml.gz	obj	G_b0092	optimal	0.921948
iJR904.xml.gz	obj	G_b0096	optimal	0.0
iJR904.xml.gz	obj	G_b0099	optimal	0.921948
iJR904.xml.gz	obj	G_b0104	optimal	0.921948
iJR904.xml.gz	obj	G_b0109	optimal	0.0
iJR904.xml.gz	obj	G_b0112	optimal	0.921948
iJR904.xml.gz	obj	G_b0114	optimal	0.892657
iJR904.xml.gz	obj	G_b0115	optimal	0.892657
iJR904.xml.gz	obj	G_b0116	optimal	0.870382
iJR904.xml.gz	obj	G_b0118	optimal	0.921948
iJR904.xml.gz	obj	G_b0120	optimal	0.0
iJR904.xml.gz	obj	G_b0121	optimal	0.0
iJR904.xml.gz	obj	G_b0124	optimal	0.921948
iJR904.xml.gz	obj	G_b0125	optimal	0.921948
iJR904.xml.gz	obj	G_b0126	optimal	0.921948
iJR904.xml.gz	obj	G_b0131	optimal	0.0
iJR904.xml.gz	obj	G_b0133	optimal	0.0
iJR904.xml.gz	obj	G_b0134	optimal	0.0
iJR904.xml.gz	obj	G_b0142	optimal	0.0
iJR904.xml.gz	obj	G_b0154	optimal	0.921948
iJR904.xml.gz	obj	G_b0158	optimal	0.921948
iJR904.xml.gz	obj	G_b0159	optimal	0.0
iJR904.xml.gz	obj	G_b0160	optimal	0.921948
iJR904.xml.gz	obj	G_b0166	optimal	0.0
iJR904.xml.gz	obj	G_b0171	optimal	0.921738
iJR904.xml.gz	obj	G_b0173	optimal	0.921948
iJR904.xml.gz	obj	G_b0174	optimal	0.921948
iJR904.xml.gz	obj	G_b0175	optimal	0.0
iJR904.xml.gz	obj	G_b0179	optimal	0.0
iJR904.xml.gz	obj	G_b0180	optimal	0.0
iJR904.xml.gz	obj	G_b0181	optimal	0.0
iJR904.xml.gz	obj	G_b0182	optimal	0.0
iJR904.xml.gz	obj	G_b0185	optimal	0.0
iJR904.xml.gz	obj	G_b0186	optimal	0.921948
iJR904.xml.gz	obj	G_b0197	optimal	0.921948
iJR904.xml.gz	obj	G_b0198	optimal	0.921948
iJR904.xml.gz	obj	G_b0199	optimal	0.921948
iJR904.xml.gz	obj	G_b0200	optimal	0.0
iJR904.xml.gz	obj	G_b0207	optimal	0.921948
iJR904.xml.gz	obj	G_b0212	optimal	0.921948
iJR904.xml.gz	obj	G_b0221	optimal	0.921948
iJR904.xml.gz	obj	G_b0222	optimal	0.0
iJR904.xml.gz	obj	G_b0238	optimal	0.921948
iJR904.xml.gz	obj	G_b0242	optimal	0.921054
iJR904.xml.gz	obj	G_b0243	optimal	0.921054
iJR904.xml.gz	obj	G_b0273	optimal	0.921948
iJR904.xml.gz	obj	G_b0312	optimal	0.921948
iJR904.xml.gz	obj	G_b0314	optimal	0.921948
iJR904.xml.gz	obj	G_b0323	optimal	0.921948
iJR904.xml.gz	obj	G_b0331	optimal	0.921948
iJR904.xml.gz	obj	G_b0333	optimal	0.921948
iJR904.xml.gz	obj	G_b0334	optimal	0.921948
iJR904.xml.gz	obj	G_b0335	optimal	0.921948
iJR904.xml.gz	obj	G_b0336	optimal	0.921948
iJR904.xml.gz	obj	G_b0337	optimal	0.921948
iJR904.xml.gz	obj	G_b0339	optimal	0.921948
iJR904.xml.gz	obj	G_b0340	optimal	0.921948
iJR904.xml.gz	obj	G_b0341	optimal	0.921948
iJR904.xml.gz	obj	G_b0343	optimal	0.921948
iJR904.xml.gz	obj	G_b0344	optimal	0.921948
iJR904.xml.gz	obj	G_b0347	optimal	0.921948
iJR904.xml.gz	obj	G_b0348	optimal	0.921948
iJR904.xml.gz	obj	G_b0349	optimal	0.921948
iJR904.xml.gz	obj	G_b0350	optimal	0.921948
iJR904.xml.gz	obj	G_b0351	optimal	0.921948
iJR904.xml.gz	obj	G_b0352	optimal	0.921948
iJR904.xml.gz	obj	G_b0353	optimal	0.921948
iJR904.xml.gz	obj	G_b0356	optimal	0.921948
iJR904.xml.gz	obj	G_b0365	optimal	0.921948
iJR904.xml.gz	obj	G_b0366	optimal	0.921948
iJR904.xml.gz	obj	G_b0367	optimal	0.921948
iJR904.xml.gz	obj	G_b0368	optimal	0.921948
iJR904.xml.gz	obj	G_b0369	optimal	0.921948
iJR904.xml.gz	obj	G_b0381	optimal	0.921948
iJR904.xml.gz	obj	G_b0386	optimal	0.0
iJR904.xml.gz	obj	G_b0388	optimal	0.921948
iJR904.xml.gz	obj	G_b0401	optimal	0.921948
iJR904.xml.gz	obj	G_b0403	optimal	0.921948
iJR904.xml.gz	obj	G_b0414	optimal	0.0
iJR904.xml.gz	obj	G_b0415	optimal	0.0
iJR904.xml.gz	obj	G_b0417	optimal	0.921948
iJR904.xml.gz	obj	G_b0418	optimal	0.921948
iJR904.xml.gz	obj	G_b0420	optimal	0.921948
iJR904.xml.gz	obj	G_b0421	optimal	0.921948
iJR904.xml.gz	obj	G_b0423	optimal	0.921948
iJR904.xml.gz	obj	G_b0425	optimal	0.921948
iJR904.xml.gz	obj	G_b0428	optimal	0.921948
iJR904.xml.gz	obj	G_b0429	optimal	0.873973
iJR904.xml.gz	obj	G_b0430	optimal	0.873973
iJR904.xml.gz	obj	G_b0431	optimal	0.873973
iJR904.xml.gz	obj	G_b0432	optimal	0.873973
iJR904.xml.gz	obj	G_b0451	optimal	0.0
iJR904.xml.gz	obj	G_b0469	optimal	0.921948
iJR904.xml.gz	obj	G_b0474	optimal	0.0
iJR904.xml.gz	obj	G_b0475	optimal	0.921948
iJR904.xml.gz	obj	G_b0477	optimal	0.921948
iJR904.xml.gz	obj	G_b0480	optimal	0.0
iJR904.xml.gz	obj	G_b0485	optimal	0.921948
iJR904.xml.gz	obj	G_b0505	optimal	0.921948
iJR904.xml.gz	obj	G_b0507	optimal	0.921948
iJR904.xml.gz	obj	G_b0508	optimal	0.921948
iJR904.xml.gz	obj	G_b0509	optimal	0.921948
iJR904.xml.gz	obj	G_b0511	optimal	0.921948
iJR904.xml.gz	obj	G_b0512	optimal	0.921948
iJR904.xml.gz	obj	G_b0514	optimal	0.921948
iJR904.xml.gz	obj	G_b0516	optimal	0.921948
iJR904.xml.gz	obj	G_b0521	optimal	0.921948
iJR904.xml.gz	obj	G_b0522	optimal	0.0
iJR904.xml.gz	obj	G_b0523	optimal	0.0
iJR904.xml.gz	obj	G_b0529	optimal	0.895813
iJR904.xml.gz	obj	G_b0576	optimal	0.921948
iJR904.xml.gz	obj	G_b0583	optimal	0.921948
iJR904.xml.gz	obj	G_b0586	optimal	0.921948
iJR904.xml.gz	obj	G_b0593	optimal	0.921948
iJR904.xml.gz	obj	G_b0594	optimal	0.921948
iJR904.xml.gz	obj	G_b0595	optimal	0.921948
iJR904.xml.gz	obj	G_b0596	optimal	0.921948
iJR904.xml.gz	obj	G_b0612	optimal	0.921948
iJR904.xml.gz	obj	G_b0615	optimal	0.921948
iJR904.xml.gz	obj	G_b0616	optimal	0.921948
iJR904.xml.gz	obj	G_b0617	optimal	0.921948
iJR904.xml.gz	obj	G_b0621	optimal	0.921948
iJR904.xml.gz	obj	G_b0638	optimal	0.921948
iJR904.xml.gz	obj	G_b0639	optimal	0.0
iJR904.xml.gz	obj	G_b0652	optimal	0.921948
iJR904.xml.gz	obj	G_b0653	optimal	0.921948
iJR904.xml.gz	obj	G_b0654	optimal	0.921948
iJR904.xml.gz	obj	G_b0655	optimal	0.921948
iJR904.xml.gz	obj	G_b0662	optimal	0.921948
iJR904.xml.gz	obj	G_b0674	optimal	0.921948
iJR904.xml.gz	obj	G_b0677	optimal	0.921948
iJR904.xml.gz	obj	G_b0678	optimal	0.921948
iJR904.xml.gz	obj	G_b0679	optimal	0.921948
iJR904.xml.gz	obj	G_b0688	optimal	0.921948
iJR904.xml.gz	obj	G_b0692	optimal	0.921948
iJR904.xml.gz	obj	G_b0693	optimal	0.921948
iJR904.xml.gz	obj	G_b0696	optimal	0.921948
iJR904.xml.gz	obj	G_b0697	optimal	0.921948
iJR904.xml.gz	obj	G_b0698	optimal	0.921948
iJR904.xml.gz	obj	G_b0720	optimal	0.0
iJR904.xml.gz	obj	G_b0721	optimal	0.873302
iJR904.xml.gz	obj	G_b0722	optimal	0.873302
iJR904.xml.gz	obj	G_b0723	optimal	0.873302
iJR904.xml.gz	obj	G_b0724	optimal	0.873302
iJR904.xml.gz	obj	G_b0726	optimal	0.906129
iJR904.xml.gz	obj	G_b0727	optimal	0.906129
iJR904.xml.gz	obj	G_b0728	optimal	0.91045
iJR904.xml.gz	obj	G_b0729	optimal	0.91045
iJR904.xml.gz	obj	G_b0733	optimal	0.921948
iJR904.xml.gz	obj	G_b0734	optimal	0.921948
iJR904.xml.gz	obj	G_b0750	optimal	0.0
iJR904.xml.gz	obj	G_b0751	optimal	0.921948
iJR904.xml.gz	obj	G_b0754	optimal	0.921948
iJR904.xml.gz	obj	G_b0755	optimal	0.921948
iJR904.xml.gz	obj	G_b0757	optimal	0.921948
iJR904.xml.gz	obj	G_b0758	optimal	0.921948
