model	objective	gene	status	value
iJR904	obj	b0002	optimal	0.921948
iJR904	obj	b0003	optimal	0.921948
iJR904	obj	b0004	optimal	0.921948
iJR904	obj	b0007	optimal	0.921948
iJR904	obj	b0008	optimal	0.921948
iJR904	obj	b0019	optimal	0.921948
iJR904	obj	b0025	optimal	0.0
iJR904	obj	b0029	optimal	0.921948
iJR904	obj	b0031	optimal	0.0
iJR904	obj	b0032	optimal	0.921948
iJR904	obj	b0033	optimal	0.921948
iJR904	obj	b0036	optimal	0.921948
iJR904	obj	b0038	optimal	0.921948
iJR904	obj	b0040	optimal	0.921948
iJR904	obj	b0048	optimal	0.0
iJR904	obj	b0049	optimal	0.921948
iJR904	obj	b0052	optimal	0.921948
iJR904	obj	b0061	optimal	0.921948
iJR904	obj	b0062	optimal	0.921948
iJR904	obj	b0063	optimal	0.921948
iJR904	obj	b0066	optimal	0.921948
iJR904	obj	b0067	optimal	0.921948
iJR904	obj	b0068	optimal	0.921948
iJR904	obj	b0071	optimal	0.0
iJR904	obj	b0072	optimal	0.0
iJR904	obj	b0073	optimal	0.0
iJR904	obj	b0074	optimal	0.0
iJR904	obj	b0077	optimal	0.921948
iJR904	obj	b0078	optimal	0.921948
iJR904	obj	b0085	optimal	0.0
iJR904	obj	b0086	optimal	0.0
iJR904	obj	b0087	optimal	0.0
iJR904	obj	b0088	optimal	0.0
iJR904	obj	b0090	optimal	0.0
iJR904	obj	b0091	optimal	0.0
iJR904	obj	b0092	optimal	0.921948
iJR904	obj	b0096	optimal	0.0
iJR904	obj	b0099	optimal	0.921948
iJR904	obj	b0104	optimal	0.921948
iJR904	obj	b0109	optimal	0.0
iJR904	obj	b0112	optimal	0.921948
iJR904	obj	b0114	optimal	0.892657
iJR904	obj	b0115	optimal	0.892657
iJR904	obj	b0116	optimal	0.870382
iJR904	obj	b0118	optimal	0.921948
iJR904	obj	b0120	optimal	0.0
iJR904	obj	b0121	optimal	0.0
iJR904	obj	b0124	optimal	0.921948
iJR904	obj	b0125	optimal	0.921948
iJR904	obj	b0126	optimal	0.921948
iJR904	obj	b0131	optimal	0.0
iJR904	obj	b0133	optimal	0.0
iJR904	obj	b0134	optimal	0.0
iJR904	obj	b0142	optimal	0.0
iJR904	obj	b0154	optimal	0.921948
iJR904	obj	b0158	optimal	0.921948
iJR904	obj	b0159	optimal	0.0
iJR904	obj	b0160	optimal	0.921948
iJR904	obj	b0166	optimal	0.0
iJR904	obj	b0171	optimal	0.921738
iJR904	obj	b0173	optimal	0.921948
iJR904	obj	b0174	optimal	0.921948
iJR904	obj	b0175	optimal	0.0
iJR904	obj	b0179	optimal	0.0
iJR904	obj	b0180	optimal	0.0
iJR904	obj	b0181	optimal	0.0
iJR904	obj	b0182	optimal	0.0
iJR904	obj	b0185	optimal	0.0
iJR904	obj	b0186	optimal	0.921948
iJR904	obj	b0197	optimal	0.921948
iJR904	obj	b0198	optimal	0.921948
iJR904	obj	b0199	optimal	0.921948
iJR904	obj	b0200	optimal	0.0
iJR904	obj	b0207	optimal	0.921948
iJR904	obj	b0212	optimal	0.921948
iJR904	obj	b0221	optimal	0.921948
iJR904	obj	b0222	optimal	0.0
iJR904	obj	b0238	optimal	0.921948
iJR904	obj	b0242	optimal	0.921054
iJR904	obj	b0243	optimal	0.921054
iJR904	obj	b0273	optimal	0.921948
iJR904	obj	b0312	optimal	0.921948
iJR904	obj	b0314	optimal	0.921948
iJR904	obj	b0323	optimal	0.921948
iJR904	obj	b0331	optimal	0.921948
iJR904	obj	b0333	optimal	0.921948
iJR904	obj	b0334	optimal	0.921948
iJR904	obj	b0335	optimal	0.921948
iJR904	obj	b0336	optimal	0.921948
iJR904	obj	b0337	optimal	0.921948
iJR904	obj	b0339	optimal	0.921948
iJR904	obj	b0340	optimal	0.921948
